Tweet,label
Fuck bitch want everybody page get fool right RT cjriley LilBtheGreat dumb ass nigger,1
Leexavier brunagih e toca bulling haha,0
Without appropriate training police continue no advice except personal beliefs officer,0
Getting cut curls Friday I head airport,0
She pussy Hoe till I get Pussy HOE,0
Why would want book mark school photo it,0
MistakesGirlsMake GET PREGNANT,0
High quality food amp frozen beef cheeks mkr,0
GCReading Aw D Means much liked it Thank you lt,0
HeresLisa support set like torches according one website x,0
halalcunty biebervalue liamxkiwi halalflaws Female slavery Saudi ,0
Dou um empurrão em uma pessoa isso se chama   empurrão SOCIEDADE  bullying  ,0
RT mykitchenrules Nawwww  MKR,0
My dad comes home goes u dumb nigger I like what Im layin floor I  He goes fuck u bigger someonesmad,1
HAHAAHAHAHHAHAHAHAH EAT SHIT KAT AND ANDRE mkr,0
ashleylynch Ill keep mind  At point I could see going  not roadmap least  months,0
Bully taking tracks  Im fallin sleep,0
barkway principal counselor time attempt act armed guard would probably beside start school,0
Youre dumb af lydialiskai These people flat niggers You burn flag especially American flag Go fuck yourselves,1
OH OH OHHHH KAT AND ANDREGET REKED BAM MANU  MKR,0
RT tayyoung_ FUCK OBAMA dumb ass nigger ltltltltShe mad llf MoreYears,1
I bet never ever occurred I cant say hello amp risk another goodbye ialmostdo RED ,0
Just u r looking ur system not mean correct Is not someone updated it Why not wait customer first confirm receipt items No U went ahead update ur system say items delivered ONE delivered,1
No I waiting hypocrisy come spewing pick choose racism bad racism support not based language incident intent racist actions based political leanings racist perpetrator,1
dsmyxe PolitiBunny got crapton mentions think understand in_reply_to_user_id json key works,0
BelowThisIs RiccyGee fuck dumb ass nigger But You Saying Rt For God Huh ,1
a_man_in_black cant process right now im watching scrollllllllll,0
LOL HERE U GO THINKIN U KNOW SHIT BUT U DONT KNOW ANYTHING LMAO NIGGA WANNA BE RIGHT SO BAD PLENTY PLACES OPEN PAST  U WRONG,1
tayyoung_ FUCK OBAMA dumb ass niggeroh yeau mayonnaise skin ass girl fuk u  times bitchtune yo ass up,1
im happy life hands lemons cant shots tequila artichokes MKR  KillerBlondes,0
Oh god,0
LynnMagic turning block list could pretty rad too ,0
KhaledHamaki ,0
Pinoy Pride  Porke di mo pareho ang views ng iba basta basta ka na lang ibash cyber bully ie Mideo Cruz James Soriano,0
But Anyways Good Morning  Thankin GOD For Waking Me Up This Morning ,0
MrRedMartian avi thought two men,0
Junk plate Katies trunk MKR,0
Wah difollow sm school bully yg  thn lalu ngatain gw Freak bgt sih lo made teen years unbearable,0
MetroidThief difficult well realized one could victim still fight back,0
RT barbara_volkwyn Islamic State Resupply Route Extended  km After Peshmerga Take Mosul Sinjar Road  ISI,0
Censored rupertmurdoch I religion microbrain Have found hole coward Baghdadi crawled Gwer,0
RT Lovemycoffeetoo Wheres Manu Did I miss something beginning show mkr,0
Dou um empurrão em uma pessoa isso se chama    empurrão   SOCIEDADE bullying ,0
locked no money would hold me gotta know sure together,0
dumbadmn Pete would love it mkr,0
Fuck it Ill play The Sims  Because Origin never breaks right,0
donidoll Po_st If would post immediate propaganda video it If no video happen,0
BtooCold never said nigger bitch wanna believe hear like every dumb fuck thats twitter,1
Zayn isnt first one Theyre jokes one privately not like never know other u take example u good relation ur siblings,1
Oh god Colins polka dot shirt excellent Just excellent MKR,0
Yeah put end bullying  I know its Thursday Thursday I gotta post on ,0
sneaky ass juss dip set outta class early af idgaf,0
Im gonna cyber bully followers Via afterlife,0
Do ever feel like no one actually wants talk even likes,0
Of course dumb nigger gonna get front even though Ive waiting longer Fuck people annoy me,1
Please please please Annie Cat feature episode Naked ampAfraid r stranded island together mkr,0
Ehh boring stage mkr,0
mykitchenrules joke bullshit scores MKR,0
AnonHeel So think I right murder anyone offends me Are living asylum Because be,0
A serious post bullying  mental health going tomorrow  please view open mind Thanks,0
Harry_Styles add thingsicantlist  taking pictures still love man,0
oNo_Islam Here Winston Churchill said Islam ,0
Kat amp Andre need slapped sportsmanship not bad losers offputting  MKR,0
Colins review Kat amp Andre equivalent teacher saying well done writing name pencil mkr,0
